tracer_index,tsne1,tsne2,log_density
0.000000000000000000e+00,4.170336532592773438e+01,-4.618859481811523438e+01,9.108636856079101562e+00
1.000000000000000000e+00,4.162081527709960938e+01,-4.608593750000000000e+01,9.087366104125976562e+00
2.000000000000000000e+00,4.164227294921875000e+01,-4.610034179687500000e+01,9.098279953002929688e+00
3.000000000000000000e+00,4.160846328735351562e+01,-4.600561904907226562e+01,9.091360092163085938e+00
4.000000000000000000e+00,4.161720275878906250e+01,-4.599143600463867188e+01,9.092704772949218750e+00
5.000000000000000000e+00,4.161399078369140625e+01,-4.599052810668945312e+01,9.089162826538085938e+00
6.000000000000000000e+00,4.164601898193359375e+01,-4.604123306274414062e+01,9.094215393066406250e+00
7.000000000000000000e+00,4.155798339843750000e+01,-4.596387100219726562e+01,9.084459304809570312e+00
8.000000000000000000e+00,4.159981155395507812e+01,-4.584242630004882812e+01,9.083104133605957031e+00
9.000000000000000000e+00,4.149092102050781250e+01,-4.592899703979492188e+01,9.080262184143066406e+00
1.000000000000000000e+01,4.163755416870117188e+01,-4.586375045776367188e+01,9.090761184692382812e+00
1.100000000000000000e+01,4.138080596923828125e+01,-4.590646743774414062e+01,9.076412200927734375e+00
1.200000000000000000e+01,4.127939605712890625e+01,-4.584626770019531250e+01,9.074714660644531250e+00
1.300000000000000000e+01,4.116694641113281250e+01,-4.576163482666015625e+01,9.066072463989257812e+00
1.400000000000000000e+01,4.109967041015625000e+01,-4.568000030517578125e+01,9.065963745117187500e+00
1.500000000000000000e+01,4.108096694946289062e+01,-4.563793182373046875e+01,9.065435409545898438e+00
1.600000000000000000e+01,4.144788360595703125e+01,-4.541719436645507812e+01,9.069497108459472656e+00
1.700000000000000000e+01,4.145575332641601562e+01,-4.541602325439453125e+01,9.064833641052246094e+00
1.800000000000000000e+01,4.147072601318359375e+01,-4.545690536499023438e+01,9.065791130065917969e+00
1.900000000000000000e+01,4.145106506347656250e+01,-4.536725234985351562e+01,9.068964958190917969e+00
2.000000000000000000e+01,4.110722732543945312e+01,-4.567019271850585938e+01,9.062257766723632812e+00
2.100000000000000000e+01,4.148885726928710938e+01,-4.545462799072265625e+01,9.073819160461425781e+00
2.200000000000000000e+01,4.105603408813476562e+01,-4.558553695678710938e+01,9.061550140380859375e+00
2.300000000000000000e+01,4.069248580932617188e+01,-4.516951370239257812e+01,9.039227485656738281e+00
2.400000000000000000e+01,4.090300750732421875e+01,-4.538805389404296875e+01,9.053934097290039062e+00
2.500000000000000000e+01,4.069599914550781250e+01,-4.521062850952148438e+01,9.040501594543457031e+00
2.600000000000000000e+01,4.136571884155273438e+01,-4.527988433837890625e+01,9.063281059265136719e+00
2.700000000000000000e+01,4.134517288208007812e+01,-4.522926330566406250e+01,9.062726974487304688e+00
2.800000000000000000e+01,4.128014755249023438e+01,-4.511911010742187500e+01,9.059157371520996094e+00
2.900000000000000000e+01,4.079020309448242188e+01,-4.522015380859375000e+01,9.051156044006347656e+00
3.000000000000000000e+01,4.069066238403320312e+01,-4.513039779663085938e+01,9.043599128723144531e+00
3.100000000000000000e+01,4.076850891113281250e+01,-4.518936538696289062e+01,9.044585227966308594e+00
3.200000000000000000e+01,4.109644699096679688e+01,-4.494848251342773438e+01,9.049681663513183594e+00
3.300000000000000000e+01,4.106858444213867188e+01,-4.484780502319335938e+01,9.052051544189453125e+00
3.400000000000000000e+01,4.110018920898437500e+01,-4.496395874023437500e+01,9.049697875976562500e+00
3.500000000000000000e+01,4.107027435302734375e+01,-4.489738082885742188e+01,9.048049926757812500e+00
3.600000000000000000e+01,4.073255538940429688e+01,-4.512927627563476562e+01,9.047491073608398438e+00
