tracer_index,tsne1,tsne2,log_density
0.000000000000000000e+00,3.766591548919677734e+00,-7.020352172851562500e+01,9.108636856079101562e+00
1.000000000000000000e+00,3.671545267105102539e+00,-7.000949859619140625e+01,9.087366104125976562e+00
2.000000000000000000e+00,3.737349271774291992e+00,-7.005705261230468750e+01,9.098279953002929688e+00
3.000000000000000000e+00,3.740133762359619141e+00,-7.004745483398437500e+01,9.091360092163085938e+00
4.000000000000000000e+00,3.746338844299316406e+00,-7.013624572753906250e+01,9.092704772949218750e+00
5.000000000000000000e+00,3.628124952316284180e+00,-6.995487213134765625e+01,9.089162826538085938e+00
6.000000000000000000e+00,3.729163408279418945e+00,-7.009610748291015625e+01,9.094215393066406250e+00
7.000000000000000000e+00,3.734425544738769531e+00,-7.004280090332031250e+01,9.084459304809570312e+00
8.000000000000000000e+00,3.940165519714355469e+00,-6.992530059814453125e+01,9.083104133605957031e+00
9.000000000000000000e+00,3.604669570922851562e+00,-6.988363647460937500e+01,9.080262184143066406e+00
1.000000000000000000e+01,3.797273635864257812e+00,-6.988387298583984375e+01,9.090761184692382812e+00
1.100000000000000000e+01,3.455810546875000000e+00,-6.968123626708984375e+01,9.076412200927734375e+00
1.200000000000000000e+01,3.969366073608398438e+00,-6.980565643310546875e+01,9.074714660644531250e+00
1.300000000000000000e+01,3.795561552047729492e+00,-6.978887939453125000e+01,9.066072463989257812e+00
1.400000000000000000e+01,3.426894903182983398e+00,-6.958121490478515625e+01,9.065963745117187500e+00
1.500000000000000000e+01,3.351993799209594727e+00,-6.930706787109375000e+01,9.065435409545898438e+00
1.600000000000000000e+01,3.794878959655761719e+00,-6.946365356445312500e+01,9.069497108459472656e+00
1.700000000000000000e+01,3.976461172103881836e+00,-6.963169860839843750e+01,9.064833641052246094e+00
1.800000000000000000e+01,3.484361171722412109e+00,-6.972992706298828125e+01,9.065791130065917969e+00
1.900000000000000000e+01,3.391993284225463867e+00,-6.947602844238281250e+01,9.068964958190917969e+00
2.000000000000000000e+01,3.491993904113769531e+00,-6.972605133056640625e+01,9.062257766723632812e+00
2.100000000000000000e+01,3.767102956771850586e+00,-6.932901763916015625e+01,9.073819160461425781e+00
2.200000000000000000e+01,3.371167659759521484e+00,-6.943369293212890625e+01,9.061550140380859375e+00
2.300000000000000000e+01,3.973850965499877930e+00,-6.946223449707031250e+01,9.039227485656738281e+00
2.400000000000000000e+01,3.326133012771606445e+00,-6.922907257080078125e+01,9.053934097290039062e+00
2.500000000000000000e+01,3.263022899627685547e+00,-6.903966522216796875e+01,9.040501594543457031e+00
2.600000000000000000e+01,3.687501907348632812e+00,-6.900688171386718750e+01,9.063281059265136719e+00
2.700000000000000000e+01,3.715674161911010742e+00,-6.906568145751953125e+01,9.062726974487304688e+00
2.800000000000000000e+01,3.914421796798706055e+00,-6.912004852294921875e+01,9.059157371520996094e+00
2.900000000000000000e+01,3.943377256393432617e+00,-6.925796508789062500e+01,9.051156044006347656e+00
3.000000000000000000e+01,3.266211271286010742e+00,-6.881040191650390625e+01,9.043599128723144531e+00
3.100000000000000000e+01,3.397575616836547852e+00,-6.907274627685546875e+01,9.044585227966308594e+00
3.200000000000000000e+01,3.822601318359375000e+00,-6.871752166748046875e+01,9.049681663513183594e+00
3.300000000000000000e+01,3.188258647918701172e+00,-6.853392028808593750e+01,9.052051544189453125e+00
3.400000000000000000e+01,3.290221214294433594e+00,-6.899079132080078125e+01,9.049697875976562500e+00
3.500000000000000000e+01,3.636779785156250000e+00,-6.877729034423828125e+01,9.048049926757812500e+00
3.600000000000000000e+01,3.213567972183227539e+00,-6.860049438476562500e+01,9.047491073608398438e+00
3.700000000000000000e+01,3.104033470153808594e+00,-6.849124908447265625e+01,9.046245574951171875e+00
3.800000000000000000e+01,3.108690500259399414e+00,-6.819087982177734375e+01,9.045421600341796875e+00
3.900000000000000000e+01,3.126983880996704102e+00,-6.839637756347656250e+01,9.037204742431640625e+00
4.000000000000000000e+01,3.199135065078735352e+00,-6.854831695556640625e+01,9.041409492492675781e+00
4.100000000000000000e+01,3.662436008453369141e+00,-6.888845062255859375e+01,9.033407211303710938e+00
4.200000000000000000e+01,3.685383081436157227e+00,-6.819721221923828125e+01,9.022673606872558594e+00
4.300000000000000000e+01,3.149450063705444336e+00,-6.852337646484375000e+01,9.051033973693847656e+00
4.400000000000000000e+01,3.386654853820800781e+00,-6.803616333007812500e+01,9.022470474243164062e+00
4.500000000000000000e+01,3.127378225326538086e+00,-6.850609588623046875e+01,9.042783737182617188e+00
4.600000000000000000e+01,3.556865215301513672e+00,-6.832653045654296875e+01,9.032632827758789062e+00
4.700000000000000000e+01,3.120419502258300781e+00,-6.814676666259765625e+01,9.029040336608886719e+00
4.800000000000000000e+01,3.593894243240356445e+00,-6.853086090087890625e+01,9.026073455810546875e+00
4.900000000000000000e+01,3.592259645462036133e+00,-6.841733551025390625e+01,9.043829917907714844e+00
5.000000000000000000e+01,3.031907796859741211e+00,-6.782209014892578125e+01,9.033644676208496094e+00
5.100000000000000000e+01,3.518454551696777344e+00,-6.824661254882812500e+01,9.033005714416503906e+00
5.200000000000000000e+01,3.201283454895019531e+00,-6.863198852539062500e+01,9.008821487426757812e+00
5.300000000000000000e+01,3.095122098922729492e+00,-6.786341857910156250e+01,9.026341438293457031e+00
5.400000000000000000e+01,3.497608900070190430e+00,-6.817542266845703125e+01,9.034669876098632812e+00
5.500000000000000000e+01,3.332031726837158203e+00,-6.794151306152343750e+01,9.015556335449218750e+00
5.600000000000000000e+01,3.029046058654785156e+00,-6.780287170410156250e+01,9.025440216064453125e+00
5.700000000000000000e+01,3.054201364517211914e+00,-6.778214263916015625e+01,9.040700912475585938e+00
5.800000000000000000e+01,3.045916318893432617e+00,-6.764233398437500000e+01,9.015148162841796875e+00
5.900000000000000000e+01,3.243336915969848633e+00,-6.784635162353515625e+01,9.003199577331542969e+00
6.000000000000000000e+01,3.050920009613037109e+00,-6.694563293457031250e+01,9.013244628906250000e+00
6.100000000000000000e+01,2.990035772323608398e+00,-6.751702880859375000e+01,9.022443771362304688e+00
6.200000000000000000e+01,2.893752336502075195e+00,-6.724038696289062500e+01,8.998760223388671875e+00
6.300000000000000000e+01,3.052345752716064453e+00,-6.771869659423828125e+01,9.025341033935546875e+00
6.400000000000000000e+01,3.283855915069580078e+00,-6.782688903808593750e+01,9.023110389709472656e+00
6.500000000000000000e+01,3.283321380615234375e+00,-6.739973449707031250e+01,8.998505592346191406e+00
6.600000000000000000e+01,2.855093479156494141e+00,-6.714133453369140625e+01,9.006508827209472656e+00
6.700000000000000000e+01,2.625168561935424805e+00,-6.648500823974609375e+01,9.003694534301757812e+00
6.800000000000000000e+01,2.987192153930664062e+00,-6.751310729980468750e+01,9.021241188049316406e+00
6.900000000000000000e+01,2.518889665603637695e+00,-6.625182342529296875e+01,9.025192260742187500e+00
7.000000000000000000e+01,2.757719993591308594e+00,-6.681549072265625000e+01,9.018840789794921875e+00
7.100000000000000000e+01,2.930536746978759766e+00,-6.643292236328125000e+01,9.003998756408691406e+00
7.200000000000000000e+01,2.742136716842651367e+00,-6.676106262207031250e+01,9.022497177124023438e+00
7.300000000000000000e+01,3.261350631713867188e+00,-6.730901336669921875e+01,8.983852386474609375e+00
7.400000000000000000e+01,2.877131223678588867e+00,-6.718679046630859375e+01,8.991214752197265625e+00
7.500000000000000000e+01,2.234651327133178711e+00,-6.554257965087890625e+01,9.010564804077148438e+00
7.600000000000000000e+01,2.489208459854125977e+00,-6.615976715087890625e+01,9.002462387084960938e+00
7.700000000000000000e+01,2.646296024322509766e+00,-6.653111267089843750e+01,8.999441146850585938e+00
7.800000000000000000e+01,2.582662820816040039e+00,-6.635623168945312500e+01,8.989660263061523438e+00
7.900000000000000000e+01,1.819891095161437988e+00,-6.526635742187500000e+01,8.993112564086914062e+00
8.000000000000000000e+01,2.471942186355590820e+00,-6.611677551269531250e+01,8.987648010253906250e+00
8.100000000000000000e+01,2.770377397537231445e+00,-6.684143066406250000e+01,9.001436233520507812e+00
8.200000000000000000e+01,2.164013147354125977e+00,-6.553687286376953125e+01,8.970667839050292969e+00
8.300000000000000000e+01,2.725147008895874023e+00,-6.672682952880859375e+01,8.988406181335449219e+00
8.400000000000000000e+01,1.286670923233032227e+00,-6.423107910156250000e+01,8.970424652099609375e+00
8.500000000000000000e+01,1.582477569580078125e+00,-6.465039062500000000e+01,8.986188888549804688e+00
8.600000000000000000e+01,2.372395038604736328e+00,-6.588660430908203125e+01,8.980468750000000000e+00
8.700000000000000000e+01,2.051566123962402344e+00,-6.545836639404296875e+01,8.998762130737304688e+00
8.800000000000000000e+01,2.555145978927612305e+00,-6.628890228271484375e+01,8.974279403686523438e+00
8.900000000000000000e+01,1.683080434799194336e+00,-6.504211425781250000e+01,8.996240615844726562e+00
